Location,Trackers,"Total RSVPs","Next Show Date","Next Show Venue"
"Sao Paulo, Brazil",51,,,--,--
"Sao Bernardo Do Campo, Brazil",6,,,--,--
"Santo Andre, Brazil",5,,,--,--
"San Diego, CA",5,,,--,--
"Guarulhos, Brazil",4,,,--,--
"Rio De Janeiro, Brazil",3,,,--,--
"Santos, Brazil",3,,,--,--
"Manaus, Brazil",2,,,--,--
"Brasilia, Brazil",2,,,--,--
"Ribeirao Preto, Brazil",2,,,--,--
"Ottawa, Ontario",2,,,--,--
"San Francisco, CA",2,,,--,--
"Brisbane, Australia",1,,,--,--
"La Paz, Bolivia",1,,,--,--
"Serra, Brazil",1,,,--,--
"Imperatriz, Brazil",1,,,--,--
"Contagem, Brazil",1,,,--,--
"Uberlandia, Brazil",1,,,--,--
"Varginha, Brazil",1,,,--,--
"Joao Pessoa, Brazil",1,,,--,--
"Londrina, Brazil",1,,,--,--
"Rio Das Ostras, Brazil",1,,,--,--
"Canoas, Brazil",1,,,--,--
"Porto Alegre, Brazil",1,,,--,--
"Andradina, Brazil",1,,,--,--
"Aruja, Brazil",1,,,--,--
"Barueri, Brazil",1,,,--,--
"Bauru, Brazil",1,,,--,--
"Brasil, Brazil",1,,,--,--
"Campinas, Brazil",1,,,--,--
"Cerquilho, Brazil",1,,,--,--
"Cotia, Brazil",1,,,--,--
"Diadema, Brazil",1,,,--,--
"Osasco, Brazil",1,,,--,--
"Piracicaba, Brazil",1,,,--,--
"Sao Caetano Do Sul, Brazil",1,,,--,--
"Sao Jose Do Rio Preto, Brazil",1,,,--,--
"Sao Jose Dos Campos, Brazil",1,,,--,--
"Sorocaba, Brazil",1,,,--,--
"Sumare, Brazil",1,,,--,--
"Recife, Brazil",1,,,--,--
"Fortaleza, Brazil",1,,,--,--
"Palmas, Brazil",1,,,--,--
"Sylvan Lake, Alberta",1,,,--,--
"Santiago, Chile",1,,,--,--
"Espoo, Finland",1,,,--,--
"Hamburg, Germany",1,,,--,--
"Berlin, Germany",1,,,--,--
"Dublin, Ireland",1,,,--,--
"Palermo, Italy",1,,,--,--
"Ciudad De Mexico, Mexico",1,,,--,--
"Toluca, Mexico",1,,,--,--
"Porto, Portugal",1,,,--,--
"Pak Kret, Thailand",1,,,--,--
"Edinburgh, United Kingdom",1,,,--,--
"London, United Kingdom",1,,,--,--
"Rugby, United Kingdom",1,,,--,--
"Paragould, AR",1,,,--,--
"Gilbert, AZ",1,,,--,--
"Phoenix, AZ",1,,,--,--
"Rancho Santa Margarita, CA",1,,,--,--
"Rocklin, CA",1,,,--,--
"Venice, CA",1,,,--,--
"Aurora, CO",1,,,--,--
"Crystal Lake, IL",1,,,--,--
"Boston, MA",1,,,--,--
"Breckenridge, MN",1,,,--,--
"Saint Louis, MO",1,,,--,--
"Salisbury, NC",1,,,--,--
"Brooklyn, NY",1,,,--,--
"New York, NY",1,,,--,--
"Syracuse, NY",1,,,--,--
"The Dalles, OR",1,,,--,--
"Bensalem, PA",1,,,--,--
"Franklin, TN",1,,,--,--
"Lebanon, TN",1,,,--,--
"Norfolk, VA",1,,,--,--
"Milwaukee, WI",1,,,--,--
